"<strong>Production/Live License Key</strong><br>Make sure the shown license server below is matching your license server in your license key overview.<br>Whenever it shows a invalid license key you can compare the license server name with the domain in your <a href=""https://www.magmodules.eu/license/customer/"" target=""_blank"">license dashboard</a> to make sure it's correct. You can change the live key one time.<br><br><p><strong>Change or Add a Staging/Development Keys</strong><br>If you need an extra license key for your staging/development environment you can login to your <a href=""https://www.magmodules.eu/license/customer/"" target=""_blank"">account</a> and generate development/staging keys. <a href="http://www.magmodules.eu/help/staging-license-key/" target=""_blank">Read more</a> information about the licenses.</p>","<strong>Production/Live Licentie Key</strong><br>Make sure the shown license server below is matching your license server in your license key overview.<br>Whenever it shows a invalid license key you can compare the license server name with the domain in your <a href=""https://www.magmodules.eu/license/customer/"" target=""_blank"">license dashboard</a> to make sure it's correct. You can change the live key one time.<br><br><p><strong>Change or Add a Staging/Development Keys</strong><br>If you need an extra license key for your staging/development environment you can login to your <a href=""https://www.magmodules.eu/license/customer/"" target=""_blank"">account</a> and generate development/staging keys. <a href=""http://www.magmodules.eu/help/staging-license-key/"" target=""_blank"">Read more</a> information about the licenses.</p>"
"You can find your provided license key on your order confirmation mail or login to your account on Magmodules.eu and go to the my license keys tab.","You can find your provided license key on your order confirmation mail or login to your account on Magmodules.eu and go to the my license keys tab."
"-- none","-- none"
"License Key","License Key"
"Actions","Actions"
"Attribute","Attribute"
"Advanced","Advanced"
"Advanced Filter","Advanced Filter"
"Add Filter","Add Filter"
"By default prices are shown incl. Tax so only change this option if necessary.<br>If the feed export is without tax it's possible to add it with this option.<br>","By default prices are shown incl. Tax so only change this option if necessary.<br>If the feed export is without tax it's possible to add it with this option.<br><br>"
"Cron","Cron"
"Configurable","Configurable"
"Data: Brand","Data: Brand"
"Data: Category","Data: Category"
"Data: Condition","Data: Condition"
"Data: Description","Data: Description"
"Data: GTIN","Data: GTIN"
"Data: MPN","Data: MPN"
"Default Category","Default Category"
"Default Condition","Default Condition"
"Description Attribute","Description Attribute"
"Each store view will have their own Google Shopping feed, you can easily activate or de-activate the Google Shopping feed generation on store level or automatically generate the Google Shopping feed. In case your not using the cron job functionality it's possible to generate the Google Shopping feed manually.","Each store view will have their own Google Shopping feed, you can easily activate or de-activate the Google Shopping feed generation on store level or automatically generate the Google Shopping feed. In case your not using the cron job functionality it's possible to generate the Google Shopping feed manually."
"Enabled","Enabled"
"Enable Apparel","Enable Apparel"
"Every product","Every product"
"Exclude products with this visibility","Exclude the products with this visibility"
"Extra Fields","Extra Fields"
"Exclude Products","Exclude Products"
"Exclude Products on Status","Exclude Products on Status"
"Exclude Products on Visibility","Exclude Products on Visibility"
"Exclude Products on Stock level","Exclude Products on Stock level"
"Exclude out of stock products","Exclude out of stock products"
"Exclude products with this status","Exclude products with this status"
"Exclude products with this visibility","Exclude products with this visibility"
"Exclude for Google Shopping","Exclude for Google Shopping"
"Extention needs to be enabled to use this function","Extension needs to be enabled to use this function"
"Feed Generation","Feed Generation"
"File writing not succeeded","File writing not succeeded"
"Filename","Filename"
"Field Name","Field Name"
"Filter by Category","Filter by Category"
"Force Tax Usage","Force Tax Usage"
"Frequency","Frequency"
"Generate","Generate"
"Generated","Generated"
"Generated Feeds","Generated Feeds"
