"<strong>Production/Live License Key</strong><br>Make sure the shown license server below is matching your license server in your license key overview.<br>Whenever it shows a invalid license key you can compare the license server name with the domain in your <a href=""https://www.magmodules.eu/license/customer/"" target=""_blank"">license dashboard</a> to make sure it's correct. You can change the live key one time.<br><br><p><strong>Change or Add a Staging/Development Keys</strong><br>If you need an extra license key for your staging/development environment you can login to your <a href=""https://www.magmodules.eu/license/customer/"" target=""_blank"">account</a> and generate development/staging keys. <a href=""http://www.magmodules.eu/help/staging-license-key/"" target=""_blank"">Read more</a> information about the licenses.</p>","<strong>Productie/Live Licentie code</strong><br>De onderstaand getoonde licentie server  dient gelijk te zijn aan de gegenereerde licentie code welke gekoppeld is aan de domeinnaam. Indien de licentie code ongeldig is kunt u de licentie server controleren en/of wijzigen in het <a href=""https://www.magmodules.eu/license/customer/"" target=""_blank"">licentie dashboard</a> in uw account op Magmodules.eu. De live licentie is éénmalig te wijzigen.<br><br><p><strong>Licentie voor ontwikkel/staging omgeving aanmaken of wijzigen</strong><br>Als u een extra licentie nodig heeft voor uw staging/ontwikkelomgeving dan kunt u inloggen op uw account en het deze los genereren op basis van deze domeinnaam. <a href=""http://www.magmodules.eu/help/staging-license-key/"" target=""_blank"">Lees hier</a> meer  over de licenties.</p>"
"You can find your provided license key on your order confirmation mail or login to your account on magmodules and go to the my license keys tab.","U kunt deze licentiesleutel vinden op uw orderbevestiging mail of in uw account op Magmodules.eu onder de My License Keys tab."
"Actions","Actie"
"From Product Price","Product Prijs vanaf"
"To Product Price","Product Prijs tot"
"License Key","Licentie code"
"Shipping Price","Verzendkosten"
"Advanced","Geavanceerd"
"A valid license key is required in order to enable the module.","Er is een geldige licentie code nodig om de extensie te activeren"
"Advanced Filter","Uitgebreid filter"
"Attribute","Attribuut"
"Additional Fields","Extra velden"
"Add Filter","Voeg Filter Toe"
"By default prices are shown incl. Tax so only change this option if necessary.<br>If the feed export is without tax it's possible to add it with this option.<br>","Standaard worden de prijzen incl. btw getoond, verander deze optie enkel als het nodig is.<br>Wanneer de export feed de prijzen toont exclusief BTW is het mogelijk deze optie te gebruiken.<br><br>" 
"Cron","Cron"
"Color","Kleur"
"Category","Categorie"
"Configurable &amp; Grouped","Configureerbaar &amp; Gegroepeerde producten"
"Data: Brand","Data: Merk"
"Data: Category","Data: Categorie"
"Data: Condition","Data: Conditie"
"Data: Id, Name &amp; Description","Data: ID, Naam &amp; Omschrijving"
"Data: GTIN","Data: GTIN"
"Data: MPN","Data: MPN"
"Default Category","Standaard categorie"
"Default Condition","Standaard conditie"
"Description Attribute","Omschrijving attribuut"
"Each store view will have their own Google Shopping feed, you can easily activate or de-activate the Google Shopping feed generation on store level or automatically generate the Google Shopping feed. In case your not using the cron job functionality it's possible to generate the Google Shopping feed manually.","Elke winkelzicht heeft zijn eigen Google Shopping-feed. U kunt deze gemakkelijk activeren of de-activeren en Google Shopping-feed automatisch laten genereren. In het geval dat u de cronjob functionaliteit niet gebruikt is het mogelijk om de Google Shopping-feed handmatig te genereren."
"Enabled","Activeer"
"Enable Apparel","Activeer Kleding"
"Extra Fields","Extra velden"
"Include Products on Visibility","Voeg producten toe op basis van zichtbaarheid"
"Exclude products with this visibility","Sluit producten uit met deze zichtbaarheid"
"Every product","Elk product"
"Exclude Products","Producten uitsluiten"
"Exclude Products on Status","Producten met deze status uitsluiten"
"Exclude Products on Visibility","Producten met deze zichtbaarheid uitsluiten"
"Exclude products with this status","Sluit producten met deze status uit"
"Exclude Products on Stock level","Producten uitsluiten op basis van voorraadniveau"
"Exclude out of stock products","Producten welke niet op voorraad zijn uitsluiten"
"Exclude products with this visibility","Sluit producten met deze zichtbaarheid uit"
"Exclude for Google Shopping","Uitsluiten voor Google Shopping"
"Extention needs to be enabled to use this function","De extensie dient geactiveerd te zijn om deze functie te gebruiken"
"Feed Generation","Feed Generatie"
"File writing not succeeded","Bestand schrijven niet gelukt"
"Filename","Bestandsnaam"
"Filter by Category","Filter op categorie"
"Your Generated Feeds","Gegenereerde Feeds"
"Force Tax Usage","Dwing BTW gebruik"
"Field Name","Veldnaam"
"Frequency","Regelmaat"
"Generate","Genereren"
"Generated","Gegenereerd"
"Generated Feeds","Gegenereerde feed"
"Generate Manual","Genereer manueel"
"Google Shopping - Advanced Options","Google Shopping - Geavanceerde opties"
"Google Shopping","Google Shopping"
"Google Shopping - Data","Google Shopping - Data"
"Google Shopping - Filter Conditions","Google Shopping - Filter condities"
"Google Shopping - Generation Settings","Google Shopping - generatie instellingen"
"If you want to submit more fields to your Google Shopping Feed you can fill in the data here.","Het is mogelijk om handmatig extra velden toe te voegen aan de Google Shopping Feed."
"Include Weight Field","Voeg gewicht toe"
"ID Attribute","ID attribuut"
"Include by Category","Invoegen bij categorie"
"Include products with this visibility","Voeg producten toe met deze zichtbaarheid"
"Limit","Limiet"
"Licence","licentie"
"License Key","Licentie code"
"Material","Material"
"Make sure you <strong><u>save the configuration first</u></strong> before generating a feed!</strong>","Kies <strong><u>Configuratie opslaan</u></strong> om de laatste instellingen door te voeren in de feed.</strong>"
"Manually Add Tax","Handmatig BTW toevoegen"
"Magmodules","Magmodules"
"New","Nieuw"
"Note, in the feed generate configuration tab you have enabled the product limit of %s.","Let op, in the feed generatie instellingen tab staat er een product limiet van %s ingeschakeld."
"No products found, make sure your filters are configured with existing values.","Geen producten gevonden, wees er zeker van dat de filters juist zijn ingesteld en bestaande data bevat."
"Name Attribute","Naam attribuut"
"Non Required Fields","Niet verplichte velden"
"Only when less than two.. ","Enkel wanneer minder dan 2.. "
"Only add products with the following visibility","Producten toe voegen met de volgende als zichtbaarheid"
"Only enable this option when you have enabled an extension that is using the simple prices in your store.","Activeer deze functie alleen als er gebruikt wordt gemaakt van een simpel product prijs extensie in de store"
"Pattern","Patroon"
"Percentage","Percentage"
"Product Condition","Product Conditie"
"Products are categorized in Google Shopping according to the Google product taxonomy. While Google can't guarantee that a product will show in a particular category, you can increase the chances that your products will be included in the most relevant categories by sending them highly structured information for your items. Click <a href=""https://support.google.com/merchants/answer/160081"" target=""_blank"">here</a> to read more about the Google product Taxonomy inlcuding the different categories.  For more information how to set this up per category see our <a href=""https://www.magmodules.eu/help/google-shopping/google-shopping-categorie/"">Knowledge Base</a><br><br>","Producten worden gecategoriseerd volgens de Google Shopping opmaak. Ondanks dat Google niet kan garanderen dat de producten daadwerkelijk in deze categorie worden geplaatst is het wel mogelijk om een voorkeur aan te geven. klik <a href=""https://support.google.com/merchants/answer/160081"" target=""_blank"">hier</a> om een overzicht te krijgen van de juiste categorieën binnen Google Shopping. Voor meer informatie over hoe de categorieen in te stellen kunt u onze <a href=""https://www.magmodules.eu/help/google-shopping/google-shopping-categorie/"">Knowledge Base</a> raadplegen.<br><br>"
"Price Rules","Prijsregels"
"Refurbished","Opgeknapt"
"Required according to the Unique Product Identifier Rules for all target countries except for Austria, Belgium, Canada, Denmark, India, Mexico, Norway, Poland, Russia, Sweden, and Turkey. This attribute is recommended for Austria, Belgium, Canada, Denmark, India, Mexico, Norway, Poland, Russia, Sweden, and Turkey. <strong>Note:</strong> Don't provide your store name as the brand unless you manufacture the product.<br><br>","Dit is een vereiste waarde volgens de Artikelnummer Regels voor alle landen behalve  Oostenrijk, België, Canada, Denemarken, India, Mexico, Noorwegen, Polen, Rusland, Zweden en Turkije. Deze eigenschap wordt aanbevolen voor Oostenrijk, België, Canada, Denemarken, India, Mexico, Noorwegen, Polen, Rusland, Zweden en Turkije.<strong> Opmerking: </strong> gebruik de naam van uw winkel niet als merk tenzijn u zelf de producent bent van het product.<br><br>"
"Server Name","Servernaam"
